disciplines,coach,
アーチェリー,1,
アイスホッケー,1,
アメフト,1,
インディアカ,0,
ウエイトリフティング,1,
ウォーキング,0,
エアロビック,1,
オリエンテーリング,1,
親子リトミック,0,
カーリング,1,
カヌー,1,
空手道,1,
弓道,1,
近代五種,0,
キンボール,0,
グラウンド・ゴルフ,1,
クレー射撃,1,
ゲートボール,1,
健康体操,0,
剣道,1,
ゴルフ,1,
サッカー,1,
山岳,1,
自転車競技,1,
銃剣道,1,
柔道,1,
少林寺拳法,0,
新体操,1,
水泳,1,
スキー・スノボ,1,
スクーバ,1,
スケート,1,
クライミング,0,
チャンバラ,1,
吹矢,0,
相撲,1,
セーリング,1,
ソフトテニス,1,
ソフトバレー,0,
ソフトボール,1,
太極拳,0,
体操,1,
体操競技,1,
卓球,1,
ターゲット・バードゴルフ,0,
ダンス,0,
ダンススポーツ,1,
チアダンス,1,
チアリーディング,1,
綱引,1,
テニス,1,
ドッジボール,1,
トライアスロン,1,
トランポリン,1,
なぎなた,1,
軟式野球,1,
バイアスロン,1,
バウンドテニス,1,
馬術,1,
バスケ,1,
バドミントン,1,
バレー,1,
パワーリフティング,1,
ハンドボール,1,
パークゴルフ,0,
ビーチバレー,0,
フィトネス,0,
フェンシング,1,
武術太極拳,0,
フットサル,1,
フライングディスク,0,
フラダンス,0,
プロゴルフ,1,
プロスキー,1,
プロテニス,1,
ペタンク,0,
ボウリング,1,
ボート,1,
ボクシング,1,
ホッケー,1,
ボブスレー,1,
野球,0,
ヨガ,0,
ライフル射撃,1,
ラグビー,1,
ランニング,0,
陸上,1,
レスリング,1,
ローラースポーツ,0,
3B体操,0,